CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CH14,CH15_COD,CH16_COD,PP03C,PP04B_COD,PP06H,PP07A,AÑO,CAT_OCUP,PP07H,informal,EMPLEO,edad2,CH12,CH13,educ,ingreso_total_familiar,horastrab,ix_tot
2.0,26.0,5.0,4.0,4.0,1.0,0.0,204212.5,,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,676.0,4.0,1.0,,1633700.0,,8
1.0,50.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,,,1.0,1009.0,0.0,2.0,2025,3.0,2.0,1,2.0,2500.0,4.0,2.0,,0.0,20.0,5
2.0,20.0,1.0,4.0,3.0,1.0,0.0,0.0,4.0,,,1.0,1009.0,1.0,0.0,2025,2.0,0.0,0,2.0,400.0,4.0,2.0,,0.0,,5
1.0,18.0,1.0,4.0,3.0,1.0,0.0,0.0,3.0,,,1.0,1009.0,1.0,0.0,2025,2.0,0.0,0,2.0,324.0,4.0,2.0,,0.0,,5
1.0,18.0,5.0,4.0,3.0,1.0,0.0,0.0,4.0,,,1.0,2800.0,2.0,0.0,2025,2.0,0.0,0,2.0,324.0,4.0,2.0,,0.0,,5
2.0,26.0,5.0,4.0,4.0,1.0,0.0,592500.0,,,,1.0,4804.0,1.0,0.0,2025,2.0,0.0,0,2.0,676.0,4.0,1.0,,2370000.0,,4
1.0,61.0,1.0,4.0,1.0,1.0,0.0,546400.0,3.0,,,1.0,4903.0,0.0,0.0,2025,2.0,0.0,0,2.0,3721.0,2.0,2.0,3.0,1639200.0,60.0,3
2.0,59.0,1.0,1.0,3.0,1.0,0.0,546400.0,3.0,,,1.0,9700.0,0.0,0.0,2025,3.0,2.0,1,2.0,3481.0,4.0,2.0,,1639200.0,,3
2.0,21.0,5.0,4.0,4.0,1.0,0.0,546400.0,,,,1.0,5500.0,0.0,2.0,2025,3.0,2.0,1,2.0,441.0,4.0,1.0,,1639200.0,,3
1.0,59.0,2.0,1.0,4.0,1.0,0.0,0.0,,,,1.0,4803.0,0.0,0.0,2025,2.0,0.0,0,2.0,3481.0,4.0,1.0,,0.0,48.0,4
2.0,55.0,2.0,1.0,4.0,1.0,0.0,0.0,,,,1.0,4808.0,0.0,0.0,2025,2.0,0.0,0,2.0,3025.0,4.0,1.0,,0.0,,4
1.0,23.0,5.0,1.0,4.0,1.0,0.0,0.0,,,,1.0,4803.0,0.0,0.0,2025,4.0,0.0,1,2.0,529.0,4.0,1.0,,0.0,,4
2.0,57.0,2.0,4.0,2.0,1.0,0.0,335050.83,,,,1.0,2009.0,0.0,5.0,2025,3.0,2.0,1,2.0,3249.0,2.0,1.0,6.0,2010305.0,35.0,6
1.0,24.0,1.0,4.0,3.0,1.0,0.0,335050.83,2.0,,,1.0,4000.0,0.0,5.0,2025,3.0,2.0,1,2.0,576.0,4.0,2.0,,2010305.0,,6
1.0,23.0,5.0,4.0,3.0,1.0,0.0,335050.83,1.0,,,1.0,4000.0,0.0,5.0,2025,3.0,2.0,1,2.0,529.0,4.0,2.0,,2010305.0,,6
1.0,32.0,5.0,4.0,6.0,1.0,0.0,340000.0,,,,1.0,4903.0,0.0,5.0,2025,3.0,2.0,1,2.0,1024.0,7.0,1.0,17.0,680000.0,,2
1.0,45.0,2.0,1.0,4.0,1.0,0.0,200000.0,,,,1.0,4502.0,0.0,6.0,2025,3.0,1.0,0,1.0,2025.0,4.0,1.0,,1000000.0,40.0,5
2.0,71.0,4.0,1.0,4.0,1.0,0.0,0.0,,,,2.0,9700.0,0.0,0.0,2025,3.0,1.0,0,1.0,5041.0,4.0,1.0,,0.0,22.0,5
1.0,51.0,2.0,1.0,3.0,1.0,0.0,321428.57,3.0,,,1.0,8000.0,0.0,6.0,2025,3.0,1.0,0,1.0,2601.0,4.0,2.0,,2250000.0,40.0,7
